*Server name,IP addresses,*Cores,*Memory (In MB),*OS name,OS version,OS architecture,Server type,Hypervisor,CPU utilization percentage,Memory utilization percentage,Network adapters,Network In throughput,Network Out throughput,Boot type,Number of disks,Storage in use (In GB),Disk 1 size (In GB),Disk 1 read throughput (MB per second),Disk 1 write throughput (MB per second),Disk 1 read ops (operations per second),Disk 1 write ops (operations per second),Disk 2 size (In GB),Disk 2 read throughput (MB per second),Disk 2 write throughput (MB per second),Disk 2 read ops (operations per second),Disk 2 write ops (operations per second)
pro-VM1,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM2,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM3,,4,4096,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM4,,4,4096,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM5,,4,4096,Ubuntu,,,Virtual,Hyper-V,50,50,2,50,20,UEFI,1,128,128,200,200,200,299,128,200,200,200,299
pro-VM6,,4,4096,Ubuntu,7.1,x64,Physical,,50,50,2,50,20,BIOS,1,128,128,200,200,200,299,128,200,200,200,299
pro-VM7,,4,4096,Ubuntu,7.2,x64,Physical,,50,50,2,50,20,BIOS,1,128,128,200,200,200,299,128,200,200,200,299
pro-VM8-D2,,2,2048,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM9-D2,,2,2048,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM10-D2,,2,2048,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM11-D2,,2,2048,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM12-D2,,2,2048,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM13-D2,,2,2048,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM14-D2,,2,2048,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM15,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM16,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM17,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM18,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM19,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM20,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM21,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM22,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM23,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM24,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM25,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM26,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM27,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM28,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM29,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM30,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM31,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM32,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM33,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM34,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM35,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM36,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM37,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM38,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM39,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM40,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM41,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM42,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM43,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM44,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM45,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM46,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM47,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM48,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM49,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM50,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM51,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM52,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM53,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM54,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM55,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM56,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM57,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM58,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM59,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM60-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM61-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM62-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM63-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM64-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM65-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM66-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM67-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM68-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM69-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM70-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM71-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM72-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM73-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM74-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM75-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM76-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM77-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM78-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM79-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
